id;name;category;unit;protein_type;notes
8e21862b-5bd3-4fcb-836b-faa701ac9e61;couve;vegetable;bunch;;
257504f8-10ca-4034-9ad6-a531db94fd15;couve de bruxelas;vegetable;g;;
ae4849bd-66f8-4b08-9bf1-f72b80b98bf8;couve-flor;vegetable;piece;;
91c63854-2ed9-4f98-b4f6-3454ad368840;coxas de frango;protein;g;chicken;
ce76239b-d2c6-48c0-bdc3-e0a28fab1e5c;cravo da índia;seasoning;piece;;
33bd48d4-bd4c-4388-9aef-bbab7bdd88c9;cream cheese;dairy;cup;;
9a4472cf-4f37-4d9c-b4b1-3b499769daba;creme de leite;dairy;cup;;
1c4d256c-c60e-4939-a8b1-dce4a4d099f6;creme de leite fresco;dairy;cup;;
2259c5a8-fd06-446a-b755-43f7d021e008;cúrcuma;seasoning;tsp;;
a330f79d-3806-49d2-bb54-48e9701bc5c4;curry em pó;seasoning;tsp;;
48b39f58-ad6e-433e-a5aa-ec7bd06ffd3c;cuscuz ?;grain;cup;;
73577d83-aec6-44ba-8c04-e72937e5d613;cuscuz;grain;cup;;
e506a4f9-7b3e-438d-abe3-2176d1fc0bdf;endro;seasoning;tsp;;
b72ecde4-b67f-4ef8-bea6-40985c6d0f99;ervilhas ?;vegetable;g;;
c2cfe048-0058-4312-ba11-3ee6bee4246e;ervilhas;vegetable;cup;;
b556c785-825d-497a-965f-3874a1bbffe4;espigas de milho;vegetable;piece;;
4664414d-f3b5-4467-aae9-53097b7b72c7;espinafre;vegetable;bunch;;
113acbe7-2888-4bc2-ba60-0237ed8e2ec4;espinafre baby;vegetable;piece;;
9f2d2d85-d4fe-4d49-a448-7b4ed982ccd9;extrato de baunilha;other;tsp;;
89c31008-5ca0-4367-ac62-596ca61e6b74;farinha;grain;cup;;
39e5da9f-1422-4276-a11c-4b16ddcd5f2f;farinha multiuso;grain;cup;;
3b80fb54-64eb-423c-abe9-27638a83125e;fatias de bacon;protein;piece;pork;
ffb233de-10d4-4577-8199-8d3ba2dacf8f;feijão branco;pulse;cup;;
194fa36d-7d63-4f7b-8825-f87fefa997fa;feijão carioca;pulse;cup;;
67642f10-8f09-4d3a-b768-1f9bccc36570;feijão de corda;vegetable;cup;;
6935088e-0342-4525-a354-104782cc379c;feijão fradinho ?;pulse;cup;;
698c80f2-1f43-486c-9605-564533dd6143;feijão fradinho;pulse;cup;;
dd55ced3-9ef5-4987-8fc8-d0c3aa43427a;feijão preto ?;pulse;cup;;
eb42ec90-59d8-4d26-8e12-ef7aa87a496e;feijão preto;pulse;cup;;
b64a14a4-62e6-4711-b5ce-92ee7daa66fd;feijão roxo;pulse;cup;;
a3b4915a-221b-48ca-96e9-bd0742c5f290;fermento em pó;other;tsp;;
6f4f4fac-8331-46f9-bbba-0fab92a2c668;fermento seco ativo;other;tsp;;
d5a5bee1-9843-40f1-bb1c-1895241c84f5;filé de peixe;protein;g;fish;
d2157f6e-a98e-4002-bbf3-dd24f895fea3;filé mignon;protein;g;beef;
ae5610f5-3a1f-4671-877d-23eeb8035c57;filé mignon suíno;protein;g;pork;
56d367f8-e943-45fc-ac00-76024d42b9bd;filés de anchovas;protein;piece;fish;
3618891a-f657-4aee-8fae-b11cc46b1edc;folhas de curry;seasoning;piece;;
d502b46a-bea2-4f74-8733-692c83c68c6b;folhas de louro;seasoning;piece;;
6dd40013-9d24-438d-8001-001dd7bd3959;fraldinha;protein;g;beef;
874f339a-aa17-4b70-b27c-fbc270afe769;frango ?;protein;g;chicken;
cdadbcd6-0263-423d-ab41-5aff7841d7dc;frango;protein;g;chicken;
b863aaa3-1ecd-4d21-b2f6-cb1d11151fb2;fubá;grain;cup;;
6c50dd41-56b2-437f-8300-34591bc60446;funcho;vegetable;piece;;
0c54a74d-c24b-4c96-a8d0-304852c21a57;garam masala;seasoning;tbsp;;
9b464d35-0fb9-43fb-8074-3207d8d4003e;gemas de ovos;protein;piece;other;
8844b092-1de0-4b50-b43c-05db4d508476;gengibre ?;vegetable;g;;
57ecae47-6787-41df-8a0b-0facdffd0ad0;gengibre;seasoning;piece;;
7e695cd2-948f-41e3-b286-ab7a37486da9;ghee;dairy;tbsp;;
88f722ed-d905-4447-ab68-871d64e12a4b;gorgonzola;dairy;g;;
8b90cb18-6a09-4c21-98c1-7e81e493107a;grão de bico ?;pulse;cup;;
3f1f2127-5820-4dab-ac72-8365741475bd;grão de bico;pulse;cup;;
ce969029-2cba-44c4-ae3e-136799b26272;grãos de milho;grain;cup;;
fcec017f-a43a-48bf-938a-c417924351d2;grãos de mostarda;seasoning;tsp;;
9dfbe4ba-5b84-493b-8d01-0f5ba1bfb972;hortelã fresco;seasoning;cup;;
f222a491-c9c9-4093-98be-4f218a168792;hortelã seco;seasoning;tsp;;
4358b84c-5f2d-49c5-8da1-026e7156e31e;iogurte;dairy;cup;;
5a7a301a-4f4c-4ee0-b445-888e1d8e01d7;iogurte grego;dairy;cup;;
213e4f17-597e-41da-ad4d-cfbc1d36c70a;ketchup;seasoning;tbsp;;
6b244f28-7adf-43d7-bfd6-b9079dcacdcf;kiwi;fruit;piece;;
544ce78e-07df-44f1-a337-4ffbe5c29a26;lamen;other;g;;
80b227be-1675-44b6-a278-29160b8ec441;laranja;fruit;piece;;
2c292468-8e09-4dd8-a98b-fffd693139f7;legumes;vegetable;g;;
1313edf1-41b7-4356-95f8-8692ec1ec5ef;leite;dairy;cup;;
